,Positive,GDPchange
0,1,
1,1,inf
2,1,-0.14909684703070958
3,1,0.44775882568692316
4,1,-0.5150561806359456
5,1,0.5709325700716592
6,1,-0.16911425410529368
7,1,0.175974140309759
8,1,-0.03533203716581723
9,1,-0.06920899648542833
10,1,-0.2126008317444269
11,1,0.4594520455310618
12,1,0.007678421484209386
13,1,0.617197507857991
14,1,-0.6134590238017291
15,1,0.6058129460081356
16,1,0.610390326572575
17,1,-0.3662890571050704
18,1,-0.06661652052997535
19,1,0.07764959310515462
20,1,-0.07056652335158353
21,1,-0.3419729175461085
22,1,0.08070733907406669
23,1,-0.48708937330789326
24,0,-4.710889353176445
25,0,-0.025712639217805755
26,1,-1.5118826105675636
27,1,0.24243869164152598
28,1,0.5353561037875207
29,1,-0.07660417793711194
30,1,-0.5015017295176212
31,0,-1.1415622570658073
32,1,-1.9570086126682609
33,1,4.224468705920962
34,1,1.0045309094699704
35,1,0.057516784252930275
36,1,0.2670405707303436
37,1,-0.11499935033208208
38,0,-1.0991225981109807
39,1,-7.509458029382371
40,1,0.30959771771169486
41,1,-0.30422632120346593
